post_comment,id,sentence,entity,pos_sentiment_words,neg_sentiment_words,textblob,sentiment
post,0_post,how to spend the perfect 48 hours in singapore,"['48 hour', 'singapore']",['perfect'],[],1.0,10.0
post,0_post,first head to your waterfall at singapore airport its absolutely incredible and not to be missed,"['first', 'singapore airport']","['absolutely', 'incredible']",[],0.9,9.642857143
post,0_post,then head to the center and drop by the future world exhibition at the art science museum,"['future world exhibition', 'art science museum']",[],[],0.0,6.428571429
post,0_post,next you have to head to gardens by the bay its completely free to walk around here and just look how amazing it is,['garden by the bay'],"['completely', 'free', 'amazing']",[],0.3333333333333333,7.619047619
post,0_post,dont forget to buy tickets for the skyway for the most insane views of the floral fantasy for a magical indoor garden escape,"['skyway', 'floral fantasy']","['most', 'magical']",['insane'],0.0,6.428571429
post,0_post,and of course you have to catch one of the free light shows,['light show'],['free'],[],0.4,7.857142857
post,0_post,start early to head to one of the most iconic photo spots in singapore the fort canning tunnel,"['one', 'singapore', 'fort canning']","['early', 'most', 'iconic']",[],0.3666666666666667,7.738095238
post,0_post,then its time for a quick stroll along arab street for the most incredible foods of sultan mosque before stopping by crack,"['arab street', 'food', 'sultan mosque']","['quick', 'most', 'incredible']",[],0.5777777777777778,8.492063492
post,0_post,the perfect 48 hour itinerary for singapore,"['48 hour', 'singapore']",['perfect'],[],1.0,10.0
post,1_post,skip to singapore kind of feels like a trip into the future and if you visit here are five cant,"['singapore', 'five']",['kind'],[],0.3,7.5
post,1_post,miss things that you should do,[],[],[],0.0,6.428571429
post,1_post,first singapore is pricey but thankfully the hawker centres are not,"['first', 'singapore', 'hawker centre']",[],[],0.0,6.428571429
post,1_post,these food halls are a great way to sample some of singapores best foods,"['food hall', 'food']","['great', 'best']",[],0.9,9.642857143
post,1_post,its really cheap,[],"['really', 'cheap']",[],0.4,7.857142857
post,1_post,some of them are michelin,['michelin'],[],[],0.0,6.428571429
post,1_post,starred and its a good way to get to the local culture,[],['good'],[],0.35,7.678571429
post,1_post,to using the incredible gardens by the bay,['garden by the bay'],['incredible'],[],0.9,9.642857143
post,1_post,while most of this area is actually free to explore i recommend springing for tickets to the skywalk along with the cloud forest and the beautiful flower dome,"['spring', 'cloud forest', 'flower dome']","['most', 'free', 'beautiful']",[],0.5833333333333334,8.511904762
post,1_post,dont miss the night show here either more on that later,['night show'],['more'],[],0.25,7.321428571
post,1_post,period which is a beautiful quirky colorful fun place to explore even when its raining,[],"['beautiful', 'colorful', 'fun']",[],0.3625,7.723214286
post,1_post,its a good place to shop and get a beer and people watched,[],['good'],[],0.7,8.928571429
post,1_post,the trip to the iconic marina bay sands hotel,['marina bay sand'],['iconic'],[],0.5,8.214285714
post,1_post,definitely dont skip on the historic raffles hotel which is a beautiful example of british colonial architecture and dont miss their long bar which is famous for the singapore sling cocktail,"['raffle hotel', 'british', 'long bar']","['beautiful', 'famous']",[],0.27,7.392857143
post,1_post,thanks and follow for more travel content,[],"['thanks', 'more']",[],0.35,7.678571429
post,1_post,hawker centers are my love language,['hawker center'],['love'],[],0.5,8.214285714
post,2_post,sky garden at capita spring free,"['sky garden', 'capita spring']",['free'],[],0.4,7.857142857
post,2_post,jewel fountain at changi airport free,"['jewel fountain', 'changi airport']",['free'],[],0.4,7.857142857
post,2_post,ocbc skyway,['skyway'],[],[],0.0,6.428571429
post,2_post,7,['7'],[],[],0.0,6.428571429
post,2_post,30,['30'],[],[],0.0,6.428571429
post,2_post,fort canning walk,['fort canning'],[],[],0.0,6.428571429
post,2_post,tunnel free,[],['free'],[],0.4,7.857142857
post,2_post,arab street free,['arab street'],['free'],[],0.4,7.857142857
post,2_post,gardens by the bay light show free,"['garden by the bay', 'light show']",['free'],[],0.4,7.857142857
post,2_post,level 33 rooftop bar free entry,['level 33'],['free'],[],0.4,7.857142857
post,2_post,floral fantasy exhibition,['floral fantasy'],[],[],0.0,6.428571429
post,2_post,9,['9'],[],[],0.0,6.428571429
post,2_post,10,['10'],[],[],0.0,6.428571429
