id,url,account_name,following_count,follower_count,total_like_count,date,href,handle,description,hashtag,like_count,bookmark_count,share_count,comment_count
0_post,https://www.tiktok.com/@montanadarby/video/7232388092764671258,Montana | Travels,149,95.5K,4.8M,2023-5-12,/@montanadarby,montanadarby,The perfect 48 hour itinerary for Singapore! ,"['singapore', 'singaporetravel', 'travel']",36.7K,25K,5008,208
1_post,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,Travel with Rachael ✈️,474,57.1K,1.8M,2023-1-31,/@trippingmillennial,trippingmillennial,Hawker centers are my love language  ,"['southeastasia', 'singapore', 'travelsingapore']",4913,3686,806,31
2_post,https://www.tiktok.com/@montanadarby/video/7217039897687887109,Montana | Travels,149,95.5K,4.8M,2023-4-1,/@montanadarby,montanadarby,The ultimate guide on the BEST things to do Singapore! Can you believe moat of these things are completely FREE!! ,"['singapore', 'singaporethingstodo', 'marinabaysands', 'jewelchangi', 'gardensbythebay', 'backpacking']",73.7K,40.3K,10.5K,609
3_post,https://www.tiktok.com/@aktravelss/video/7208911518451223813,AKTRAVELS ✈️ 🌍,129,130.2K,8.4M,2023-3-10,/@aktravelss,aktravelss,Singapore is just different 🇸🇬 ,"['singapore', 'singaporetiktok', 'singaporelife', 'shopping', 'traveltiktok', 'aktravels']",2.1M,292.8K,25.1K,11.7K
4_post,https://www.tiktok.com/@belemartorres2/video/7218172665222237441,Belemar Torres,440,1284,37.2K,2023-4-4,/@belemartorres2,belemartorres2,Here’s my top 20 most visited place in Singapore! ,"['singapore2023', 'travelsingapore', 'solotraveling', 'fyp']",10.1K,7756,1935,71
5_post,https://www.tiktok.com/@montanadarby/video/7232762179869560090,Montana | Travels,149,95.5K,4.8M,2023-5-13,/@montanadarby,montanadarby,Singapore - What I spend in a day! Unpopular opinion but I really didn’t think it was that expensive at all! So many free or reasonably priced things to do here! ,"['singapore', 'singaporetravel', 'travel']",7917,2938,511,133
6_post,https://www.tiktok.com/@klook.my/video/7244541203247680770,Klook MY 🇲🇾,13,58.1K,1.6M,2023-6-14,/@klook.my,klook.my,These spots are great for photos too! 📸 ,"['singapore', 'freeplaces', 'klookmy', 'klooktravel', 'thingstodo', 'placestovisit', 'cheapplaces', 'traveltips', 'singaporetips']",8474,6094,846,43
7_post,https://www.tiktok.com/@lgdm0213/video/7205540561774857499,Lou DM,125,653,25.6K,2023-3-1,/@lgdm0213,lgdm0213,Our 6D5N DIY Singapore Itinerary + our Total Expense. 😊 ,"['singapore', 'singapore2023', 'singaporetravel', 'singaporetrip', 'travel2023', 'singaporeitinerary', 'sgitinerary', 'singaporetrip2023', 'itinerarysingapore']",8271,5893,1854,263
8_post,https://www.tiktok.com/@aleevpizarro/video/7192545572161670427,Alyssa Villarama Pizarro,711,49K,389.3K,2023-1-25,/@aleevpizarro,aleevpizarro,Where to go for your Singapore travel? Save this for future purposes!😉 ,"['singapore', 'placestovisit', 'travelsingapore', 'travelideas', 'travelhack', 'fyp']",9606,4872,1600,113
9_post,https://www.tiktok.com/@visit/video/7211292968530103557,Visit,50,7.1M,134.7M,2023-3-16,/@visit,visit,Marina Bay Sands Hotel is one of the most unique sights in Singapore 🇸🇬 🎥 @ibbz_7 📍Singapore ,"['uniquestays', 'hotelstays', 'marinabaysands', 'singaporetok', 'visitsingapore']",120K,9279,6406,802
