Unnamed: 0,id,url,account_name,following_count,follower_count,total_like_count,date,href,handle,description,hashtag,like_count,bookmark_count,share_count,comment_count,audio_to_text,caption_to_text
0,0_post,https://www.tiktok.com/@montanadarby/video/7232388092764671258,Montana | Travels,149,95.5K,4.8M,2023-5-12,/@montanadarby,montanadarby,The perfect 48 hour itinerary for Singapore! ,"['singapore', 'singaporetravel', 'travel']",36.7K,25K,5008,208,how to spell the perfect 48 hours in Singapore first head to your waterfall at Singapore airport it's absolutely incredible and not to be missed and head to the center and drop by the future world Exhibition at the art Science Museum then you have to head to Gardens by the bay it's completely free to walk around here and just look how amazing it is don't forget to buy tickets for the Skyway for the most insane views of the gardens fantasy for a magical indoor garden escape and of course you have to catch one of the free light shows an early start to head to one of the most iconic photos spots in Singapore the Fort Henry tunnel then it's time for a quick stroll along Arab Street for the most incredible foodz of Sultan mosque before stopping by crack,"VV

NY
yh ye
SSS

N
Sy
AG

I
NS

DALTZ

SS

DAYI

 FUTURE WORLD EXHIBITION
pay
git ak
1 Gate e i 
Hos JEWEL WATERFALL
i a ae e Png
 FUTURE a EXHIBITION

 yeas r
paren er
ra gh iW
 1
ae 
we a
ys

e

S a

e

DAY  sy e re

 JEWEL WATERFALL  x
i  Ns f
 FUTURE WoL Ext
ld 2

 GARDENS BY THE
ae
SR  PGS i ies

_ aye eas

be

CK

 JEWEL wren Si
 


oes DAY
 SANs


SEWEL WATERFALL  

 GARDENS BY THEBAY

 OCBC SKYWAY


 FUORAL FANTASY ne

 oh RHAPSODY LIGHT
  SHOW
 

WORLD EXHIBITIO

 GARDENS BY THE BAY 

 OCBC SKY
Se a
SFLopaL FaWTASY very
 pai i
e fF
GARDEN RHAPSODY LIGHT
 SHOW
4 _
  R
p24 F 4 SY  re
me
REE TUNNEL 
TC 

5

TREE TUNNEL
Wat

AL

ag
D
2
ra

acd
Sz


2

a
Ee
Fr

  ARAB STREET

a



4 ae  
re  bY oy
  LEVEL 33 ROOFTOP BAR

DAY 2

 FORT CANNING TREE TUNNEL

DAY 2

 FORT CANNING TREE TUNNEL

 ARAB STREET

DAY 2

 FORT CANNING TREE TUNNEL

ae
  DAY 2
ame 

 seca  FORT CANNING BREE TUNNEL

 wn 
Sah titties pd ee en
DAY 2

HL

wheel Sf

bs
4


4

DAY 2

 FORT CANNING TREE TUNNEL

ee

 DAY 2

 FORT CANNING TREE TUNN

 ARAB STREET

 HAJI LANE
"
1,1_post,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,Travel with Rachael ✈️,474,57.1K,1.8M,2023-1-31,/@trippingmillennial,trippingmillennial,Hawker centers are my love language  ,"['southeastasia', 'singapore', 'travelsingapore']",4913,3686,806,31,skip to Singapore kind of feels like a trip into the future and if you visit here are five can't miss things that you should do their one Singapore is pricey but thankfully the Hawker centres are not these food halls are a great way to sample some of Singapore's Best Foods it's really cheap some of them are Michelin starred and it's a good way to get to the local culture to using the incredible Gardens by the bay While most of this area is actually free to explore I recommend springing for tickets to the Skywalk along with the cloud forest and the beautiful flower Dome don't miss the night show here either more on that later period which is a beautiful quirky colorful fun place to explore even when it's raining it's a good place to shop and get a beer and people watched the trip to the iconic Marina Bay Sands Hotel definitely don't skip on deserthistoric Raffles hotel which is a beautiful example of British colonial architecture and don't miss their Long Bar which is famous for the Singapore Sling cocktail thanks and follow for More Travel content,"ee

SINGAPORE

5

FAS 
5 CANTMISS THINGS
TO DO IN

 SINGAPORE

 if

TO DO IN

 SINGAPORE

uj

EW

wo
ES

Sy
a
n

a
Q

i

 i
Seen

ae 

Sky Walk 10 SCD8761 USD

XS  Nor wg ts

JES Tim Sm ay a OO

iy le  Pe 2
BS Souk ies EsDornie
6 S855 SCDISAI33 USD
Boag ea ais dé
Se  j
4 VISIT OR STAY AT
MARINA BAY
4 VISIT OR STAY AT  

MARINA BAY SANDS



iT ii inh rf

Ah 5 RAFFLES HOTEL ia
pe AND LONG BAR

Teun

Wigiai
MTT TTF

ML TT
SMM TTT
ee ct
 follow for more travel

 follow for more travel

 follow for more travel

"
2,2_post,https://www.tiktok.com/@montanadarby/video/7217039897687887109,Montana | Travels,149,95.5K,4.8M,2023-4-1,/@montanadarby,montanadarby,The ultimate guide on the BEST things to do Singapore! Can you believe moat of these things are completely FREE!! ,"['singapore', 'singaporethingstodo', 'marinabaysands', 'jewelchangi', 'gardensbythebay', 'backpacking']",73.7K,40.3K,10.5K,609,," SS a a AP Ee
NV OAE
NDAAAA AZZ

LA MINS
me eS

Changi Airport
7 

SD Z
SAGE
AALAZZ SZ

IZ



SSS SS

 Ty Jewel rountalviag 2
 Changi Airport 
1

rr REE

ss
N


 o8 
  
  
hey
 J 7
aL 


3

r
uA
i



4


Gardens by the bay E49
show

"
3,3_post,https://www.tiktok.com/@aktravelss/video/7208911518451223813,AKTRAVELS ✈️ 🌍,129,130.2K,8.4M,2023-3-10,/@aktravelss,aktravelss,Singapore is just different 🇸🇬 ,"['singapore', 'singaporetiktok', 'singaporelife', 'shopping', 'traveltiktok', 'aktravels']",2.1M,292.8K,25.1K,11.7K,,"LOUIS VUITTON

LOUIS VUITTON A

"
4,4_post,https://www.tiktok.com/@belemartorres2/video/7218172665222237441,Belemar Torres,440,1284,37.2K,2023-4-4,/@belemartorres2,belemartorres2,Here’s my top 20 most visited place in Singapore! ,"['singapore2023', 'travelsingapore', 'solotraveling', 'fyp']",10.1K,7756,1935,71,,"a Si ngapore 2023



nga

1 Merlion Park

1 Merlion Park

1 Merlion Park

2  Marina Bay Sands a
Fountain Show

 
2  Marina Bay Sands
Fountain Show
3  Sky Park Célavi

3  Sky Park Célavi

SMOKING 
AREA

dge

1




1x

4  Hel

5  Gardens by the bay 
Y

ol

THIS IS
SMOKEFREE

nis 1S
SMOKEFREE
PARK

A

Sy
Z
Z

Pi
a

7 HajiLane e 
8 BaliLane  Vee

7  Haji Lane
8  Bali Lane 

i
SS

aaa

Soe ees

eee

w

BS

Ee a 10  Chinatown
 inte

Pisa ieete insta
11 Little India

 11 Little India
12 Arab Street

Street

12  Arab

 12 Arab Street

Y
13  Orchard

sus W

SNA y

Sar
we



14 Bugis Point

WPLUE bie

ke hed HE ae
HEU

15  Raffles Hotel 


74

15  Raffles Hotel 
16  Sentosa

Sea
Aquarium
16  Sentosa
Sea
Aquarium
4

17  Universal Studios
17  Universal Studios

es

 18  Cable Car f

a
 w

_


D




O



ing

P19

j  er  i
 19  Fort Canning Tree 

19  Fort Canning Tree 

ee



wy

tye

 20  Jewel Changi Airport

7
"
5,5_post,https://www.tiktok.com/@montanadarby/video/7232762179869560090,Montana | Travels,149,95.5K,4.8M,2023-5-13,/@montanadarby,montanadarby,Singapore - What I spend in a day! Unpopular opinion but I really didn’t think it was that expensive at all! So many free or reasonably priced things to do here! ,"['singapore', 'singaporetravel', 'travel']",7917,2938,511,133,this is really one of the most expensive cities in the world let's find out his wife spending a day in Singapore jumped on the MRT which is about 90 per journey and it's really easy to use just tap your contact list card headed straight to Fort Canning tunnel because tiktok made me do it and it's completely free to do this then I went to Arab street because I wanted to see the sultan mosque which is absolutely gorgeous by the way then I went to Chinatown for lunch and I went to Artistic and you can choose your own barbecue skewers and all of this and a drink was only eight pound 32 so far I think that's pretty good then I went to the sky Garden at Capitol Spring and most underrated thing to do in Singapore put away is completely free to do it and it's got the most incredible views of the bay then I went to level 33 rooftop bar for Sunset rings and yeah drinks are more expensive here but not like crazy expensive I got hard Seltzer for seven pounds then I went to a hawker Center which I'd heard was pretty cheap for food and I got these vegetables for only four pounds 80 this is inside the shopping center which is literally amazing and they've even got a sparkly Louis Vuitton as wellit's time to head to the Spectra light show which is also free so many free things to do in Singapore which is great then it ended the night with some ice cream which is 5 pounds 40,"wy

ae
FORT CANNING

PARK
Headed sttaight t i Fort Canning
tunnel because TikTok made
me do it

Headed straight to Fort Canni
tunnel because TikTok 
me doit i pet
goers cut

er lu can choose your own 

er soer mast 5 Re 
ae que skewers and all of

yy

ME

Ott
LOUTLLLU



r

Naina

HY

V0 ime

mm

i
"
6,6_post,https://www.tiktok.com/@klook.my/video/7244541203247680770,Klook MY 🇲🇾,13,58.1K,1.6M,2023-6-14,/@klook.my,klook.my,These spots are great for photos too! 📸 ,"['singapore', 'freeplaces', 'klookmy', 'klooktravel', 'thingstodo', 'placestovisit', 'cheapplaces', 'traveltips', 'singaporetips']",8474,6094,846,43,,"Z Its too expensive to visit
Singapore now  

HY

Pe joriselee
Singapore now 

Y

Pe joriselee
Here are 6 FREE places
visit in Singapore

Pe jorisclee
 e Y
Its too expensive to visit Z
Singapore now  

Here are 6 FREE places
 you Can visit in Singapore

Pe joriselee
 y
a FREER
Zi ae Copy PateRVA t
Pocoe ce 

SSNS A
SSeS ZMEES
 Jewel Changi Airport  PS 2S
 r 7  de a VA es
Southern Ridges a


Southern Ridges 
  x

Singapore Botanic
Gardens

Singapore Botanic
Gardens

Entrance REEWINaee
ie Netitomel Oxehtic Carrelems
SRMS2

e ae a am ee Mi rim

"
7,7_post,https://www.tiktok.com/@lgdm0213/video/7205540561774857499,Lou DM,125,653,25.6K,2023-3-1,/@lgdm0213,lgdm0213,Our 6D5N DIY Singapore Itinerary + our Total Expense. 😊 ,"['singapore', 'singapore2023', 'singaporetravel', 'singaporetrip', 'travel2023', 'singaporeitinerary', 'sgitinerary', 'singaporetrip2023', 'itinerarysingapore']",8271,5893,1854,263,itinerary for 6 days and five nights day 1 arrival in Singapore check and Hotel Grand Central dinner Orchard Road Day 2 brunch in Chinatown the gardens by the bay cloud forest flower dough Supertramp Universal Studios Singapore Marylandpause to read thanks for watching,"Our DIY Singapore Trip
Daily Itinerary for

6 Days and 5 Nights
_ Total Expense at the end 2
of the video  
ai    ae
rah en 4

2

err

Our DIY Singapore Trip
Daily Itinerary for
6 Days and 5 Nights

Our DIY Singapore Trip
Daily Itinerary for Fe
6 Days and 5 Nights

Total Expense at the end
of the video yy



FO  oes ee 




  Jewel Changi

aa

Our DIY Singapore Trip
Daily Itinerary for
6 Days and 5 Nights

Total Expense at the end
of the video  

AL a k me



A
Our DIY Singapore Trip
Daily Itinerary for awa
6 Days and 5 Nights



Total Expense at the end

Ty

Arrivalin Singapore 
Checkin Hotel Grand Ceniral
 Dinner in Orchard Road

i ea

Pal

 Arrival in Singapore
Checkin Hotel Grand Ceniral
 Dinner in Orchard Road

Vif aA

ini Dinner in Orchard R
a gs are



PEs

5 Dinner

Arrival Checki

w7



e

a

el

 oD
e S
nN



i

5





 Dinner in Orchard Road

Checkin Hotel Grand Ceniral
 Arrival in Singapore a a
 Checkin Hotel Grand Ceniral
Dinner in OrchardRoad

Arrival in Singapore 
 Checkin Hotel Grand Central
 Dinner in Orchard Road



i

j j

 Arrival in Singapore
Checkin Hotel Grand Central
 Dinner in Orchard Road

 Sightseeing  Sh pping

 Gardens by the Bay
iT
 Brunch in Chinatown
Gardens by the Bay 
Cloud Forest Flower Dome
Supertree Grove

Gi ig  Shoppin
arden by a 

jay

Bri wea in Gime
Gardens by the Bay
ud Forest Flower Dome
Supertree Grove LE

Sightseeing  Shopping
 Gardens by the Bay

Brunch in Chinatown
 Gardens by the Bay
ud Forest Flower Don

Supertree Grove

Se ap Seeley

jay

Brunch in Chinatown

 Gardens by the Bay
Cloud Forest FI ower Dome
a Supertree Gr

 Brunch in Chinatown
Gardens by the Bay
Cloud Forest Flower Dome
 Supertree Grove a

ing  Shoppin
ss th Pa

s by the Bay

 Brunch in Chinatown
Gardens by the Bay
Cloud Forest Flower Dome
Supertree Grove

htseeing  Shoppin
 cere put the si

 Brunch in Chinatown
 Gardens by the Bay
Cloud Forest Flower Dome
j Supertree Grove


Sightseeing  Shoppin
 ericas by the Ba 

ay

ai as

Brunch in Chinatown
 Gardens by the Bay
Cloud Forest Flower Dome
Supertree Grove

ing  hoppi
Ganetenis by the

Brunch in Chinatown
Gardens by the Bay 
Cloud Forest Flower Dome
Supertree Grove

6  Sho ping
jay

 Brunch in Chinatown
Gardens by the Bay 

Cloud Forest Flower Dome
E Supertree Grove

Sat
Eve of PH  PH
 T2noon  lam

n

Recsnimended by

timed DAY3

L ittle Indias
t

Bugis Stree
Newton Haw Le Centre

oH 5

  Newton Ha
a ps

Street
 Little India
 Bugis Street
 Nea con Hawker Centre

Bugis Street od
New ton Hawker CentreP

Ca Bug
 Newton

2
Br unch at Vivo City
 Universal Studios

Singapore e

WEICOM DAY 4 OUITY 4

Fun Day

 Brunch at Vivo City
Universal Studios

  Singapore

i
Fun Day FE

ia

e Brunch at Vivo City

 Universal Studios
Singapore

NIVE
PR Fun dey9 

rs Brunch at Vivo City

 Universal Studios
Singapore 

Vig

at Vivo City

 Universal Studios
 Singapore

 Brunch at Vivo City
Universal Studios
Singapore 5B

BE Laila

Shoppin Merlion
 ArtScience  Marina Bay

  
gf  Brunch and shopping
in Chinatown 
 Merlion Parkme

Shoppes at Marina Ba
 Lucky PlazaJ ss

Shopping  Merlion
 ArtScience  Marina Bay

Shoppes at Marina Bay
 Lucky P

pping  Merlion
Science  Marina Bay

Brunch and shopping
Sin Chinatown
 _  Merlion Parkisss

Shoppes at Marina Bay
 Lucky Plaza

Brunch and shopping
tin Chinatown

ArtScience Museum
Shoppes at Marina Bay
 Lucky Plaza

Shopping  Merlion
at ArtScience  Marina Bay

 Brunch and shopping

in Chinatown

e  ArtScience Museum
 Shoppes at Marina Bay
 i  Lucky Plazall 

Sc

ie

Shopping  Merlion
 ArtScience  Marina Bay

 Brunch and shopping at

ain Chinatown 1
  Merlion Park 
4  ArtScience Museum
  Shoppes at Marina Bay
 Lucky Plaza
mM 

opping  anon
 ArtScience  Marina Bay

 Brunch and shopping E

in Chinatown
 Merlion Park
_ 4 ArtScience Museum
 Shoppes at heute Bay
a4 Luck y P laza 

J ana i
Shopping Merlion


Science  Marina Bay

4 ArtScience Museum
  Shoppes at Heute ey
Ad Luck y P lazaf

Shoppes at Marina Bay
Lucky Plaza

 Merlion Park
Science Museum
oppes at Marina Bay
Lucky Plaza

NESS 

iS


oppes at Marina Bay
Lucky Plazas
J ens

Shopping  Merlion
 ArtScience  M a Bay

GSI ypping 
 ArtScience  

i
suet in Don Don Donki
i  Checkou 
Flying back to Manila 

Sho ing in Don Don De Donki
mE Groce 1s 

Breakfast
Shopping in Don Don Donki
Checkout

Breakfast
Shopping in Don Don Donki
Checkout

Flying back to Manila

DAY 6

E

Last Da

DAY 6

a

Last Day  Departure

P24821

 P35636
P790

Universal Studios
Universal Unli Express Pass P7588

ArtScience Museum P1643
Ri PH Money P100000
SFood  Transportation
an ISROPPING
Total Expense
for 2 persons

 Universal Studios
Universal Unli Express Pass 7588

ArtScience Museum P1643
Pocket Money  P100000
Food Transportation
Shopping

TOTAL  P181192
Total Expense
for 2 persons

Gard ie the Bay 
Universal Studios P6310

Universal Unli Express Pass 7588
ArtScience Museum P1643
Pocket Money P100000
F od Transportation
an jopping

TOTAL  P181192
Total Expense
for 2 persons

Universal Studios Ps 310

Universal Unli Express Pass 7588
ArtScience Museum P1643
apn 9 Money P100000
Food T ransportation
jopping

TOTAL  P181192
Total Expense
for 2 persons

P24821

P35636
Gardens by the Bay
Universal Studios P6310
Universal Unli Express Pass 7588
ArtScience Museum P1643
Pocket Money P100000
Food Transportation

and Shopping

TOTAL  181192
Total Expense
for 2 persons

 ere f the oe
Universal Studios P6310
Universal Unli Express Pass 7588
ArtScience Museum P1643
Pocket Money P100000
Food Transportation
lopping

TOTAL  P181192
Total Expense
for 2 persons

ardens by the Bay
Universal Studios P6310
Universal Unli Express Pass 7588
ArtScience Museum P1643
Pays Money P100000
Food 7 ransportation
lopping

TOTAL  P181192
Total Expense
for 2 persons

ardens by the Bay
Universal Studios P6310
Universal Unli Express Pass 7588
ArtScience Museum P1643
Pocket Money P100000

ee

TOTAL  P181192
Total Expense

2 persons 

Airfare Gebubac F24821

Gardens by the Bay
Universal Studios P6310
Universal Unli Express Pass 7588
ArtScience Museum P1643
 Pocket Money P100000
 od Transportation
an 1opping

TOTAL  P181192
4

WATCHING
"
8,8_post,https://www.tiktok.com/@aleevpizarro/video/7192545572161670427,Alyssa Villarama Pizarro,711,49K,389.3K,2023-1-25,/@aleevpizarro,aleevpizarro,Where to go for your Singapore travel? Save this for future purposes!😉 ,"['singapore', 'placestovisit', 'travelsingapore', 'travelideas', 'travelhack', 'fyp']",9606,4872,1600,113,places to visit in Singapore Changi Airport Universal Studios million Marina Bay Sands super tree Grove,"Places to visit in Singapore  mam

Places to visit in Singapore  7


_

Merl

iw  itl
_ Art Science Museum 4
wus lll

Bt

Ci

_





 mall s4

a

 
 Bi al

if fade oe Bal

i tet 5 a

aT 7



Songfa Bak Kut Teh
od al
Little India __ be


Little India
"
9,9_post,https://www.tiktok.com/@visit/video/7211292968530103557,Visit,50,7.1M,134.7M,2023-3-16,/@visit,visit,Marina Bay Sands Hotel is one of the most unique sights in Singapore 🇸🇬 🎥 @ibbz_7 📍Singapore ,"['uniquestays', 'hotelstays', 'marinabaysands', 'singaporetok', 'visitsingapore']",120K,9279,6406,802,,
