id,url,account_name,following_count,follower_count,total_like_count,date,href,handle,description,hashtag,like_count,bookmark_count,share_count,comment_count,final_text
0_post,https://www.tiktok.com/@montanadarby/video/7232388092764671258,Montana | Travels,149,95.5K,4.8M,2023-5-12,/@montanadarby,montanadarby,The perfect 48 hour itinerary for Singapore!,"['singapore', 'singaporetravel', 'travel']",36.7K,25K,5008,208,"How to spend the perfect 48 hours in Singapore? First, head to your waterfall at Singapore airport, it's absolutely incredible and not to be missed. Then, head to the center and drop by the Future World Exhibition at the Art Science Museum. Next, you have to head to Gardens by the Bay, it's completely free to walk around here and just look how amazing it is. Don't forget to buy tickets for the Skyway for the most insane views of the Floral Fantasy, for a magical indoor garden escape. And of course, you have to catch one of the free light shows. Start early to head to one of the most iconic photo spots in Singapore, the Fort Canning tunnel. Then it's time for a quick stroll along Arab Street for the most incredible foods of Sultan mosque before stopping by Crack."
1_post,https://www.tiktok.com/@trippingmillennial/video/7194849267461426478,Travel with Rachael ✈️,474,57.1K,1.8M,2023-1-31,/@trippingmillennial,trippingmillennial,Hawker centers are my love language,"['southeastasia', 'singapore', 'travelsingapore']",4913,3686,806,31,"Skip to Singapore, kind of feels like a trip into the future, and if you visit, here are five can't-miss things that you should do. First, Singapore is pricey, but thankfully, the Hawker centres are not. These food halls are a great way to sample some of Singapore's Best Foods; it's really cheap; some of them are Michelin-starred, and it's a good way to get to the local culture. To using the incredible Gardens by the bay. While most of this area is actually free to explore, I recommend springing for tickets to the Skywalk along with the cloud forest and the beautiful Flower Dome. Don't miss the night show here either (more on that later). Period which is a beautiful, quirky, colorful, fun place to explore, even when it's raining; it's a good place to shop and get a beer and people watched. The trip to the iconic Marina Bay Sands Hotel; definitely don't skip on the historic Raffles hotel, which is a beautiful example of British colonial architecture, and don't miss their Long Bar, which is famous for the Singapore Sling cocktail. Thanks and follow for More Travel content."
2_post,https://www.tiktok.com/@montanadarby/video/7217039897687887109,Montana | Travels,149,95.5K,4.8M,2023-4-1,/@montanadarby,montanadarby,The ultimate guide on the BEST things to do Singapore! Can you believe most of these things are completely FREE!!,"['singapore', 'singaporethingstodo', 'marinabaysands', 'jewelchangi', 'gardensbythebay', 'backpacking']",73.7K,40.3K,10.5K,609,Sky Garden at Capita Spring free. Jewel fountain at Changi Airport free. OCBC Skyway £7.30. fort canning walk / tunnel free. arab street free. Gardens by the bay light show free. level 33 rooftop bar free entry. floral fantasy exhibition £9.10. spectra light show free. future world at art science museum £9.20.
3_post,https://www.tiktok.com/@aktravelss/video/7208911518451223813,AKTRAVELS ✈️ 🌍,129,130.2K,8.4M,2023-3-10,/@aktravelss,aktravelss,Singapore is just different 🇸🇬,"['singapore', 'singaporetiktok', 'singaporelife', 'shopping', 'traveltiktok', 'aktravels']",2.1M,292.8K,25.1K,11.7K,"shopping in singapore, LOUIS VUITTON "
4_post,https://www.tiktok.com/@belemartorres2/video/7218172665222237441,Belemar Torres,440,1284,37.2K,2023-4-4,/@belemartorres2,belemartorres2,Here’s my top 20 most visited place in Singapore!,"['singapore2023', 'travelsingapore', 'solotraveling', 'fyp']",10.1K,7756,1935,71,"top 20 places to visit, merlion park, marina bay sands fountain show, skypark / celavi, helix bridge, gardens by the bay, haji lane, bali lane, sultan mosque, chinatown, little india, arab street, orchard, raffles hotel, sentosa sea aquarium, universal studios, cable car, fort canning tree tunnel, jewel changi airport"
5_post,https://www.tiktok.com/@montanadarby/video/7232762179869560090,Montana | Travels,149,95.5K,4.8M,2023-5-13,/@montanadarby,montanadarby,Singapore - What I spend in a day! Unpopular opinion but I really didn’t think it was that expensive at all! So many free or reasonably priced things to do here!,"['singapore', 'singaporetravel', 'travel']",7917,2938,511,133,this is really one of the most expensive cities in the world let's find out his wife spending a day in Singapore jumped on the MRT which is about 90 per journey and it's really easy to use just tap your contact list card. headed straight to Fort Canning tunnel because tiktok made me do it and it's completely free to do this. then I went to Arab street because I wanted to see the sultan mosque which is absolutely gorgeous by the way. then I went to Chinatown for lunch and I went to Artistic and you can choose your own barbecue skewers and all of this and a drink was only eight pound 32 so far I think that's pretty good. then I went to the sky Garden at Capitol Spring and most underrated thing to do in Singapore put away is completely free to do it and it's got the most incredible views of the bay. then I went to level 33 rooftop bar for Sunset rings and yeah drinks are more expensive here but not like crazy expensive I got hard Seltzer for seven pounds. then I went to a hawker Center which I'd heard was pretty cheap for food and I got these vegetables for only four pounds 80. this is inside the shopping center which is literally amazing and they've even got a sparkly Louis Vuitton as well. it's time to head to the Spectra light show which is also free so many free things to do in Singapore which is great. then it ended the night with some ice cream which is 5 pounds 40
6_post,https://www.tiktok.com/@klook.my/video/7244541203247680770,Klook MY 🇲🇾,13,58.1K,1.6M,2023-6-14,/@klook.my,klook.my,These spots are great for photos too! 📸,"['singapore', 'freeplaces', 'klookmy', 'klooktravel', 'thingstodo', 'placestovisit', 'cheapplaces', 'traveltips', 'singaporetips']",8474,6094,846,43,"Its too expensive to visit Singapore now. Here are 6 FREE places visit in Singapore, Jewel Changi Airport, Southern Ridges. Supertree Grove entrance free. ocbc skyway rm42. Singapore Botanic Gardens Entrance free, national orchid garden rm52. macritchie treetop walk free."
7_post,https://www.tiktok.com/@lgdm0213/video/7205540561774857499,Lou DM,125,653,25.6K,2023-3-1,/@lgdm0213,lgdm0213,Our 6D5N DIY Singapore Itinerary + our Total Expense. 😊,"['singapore', 'singapore2023', 'singaporetravel', 'singaporetrip', 'travel2023', 'singaporeitinerary', 'sgitinerary', 'singaporetrip2023', 'itinerarysingapore']",8271,5893,1854,263,"Our DIY Singapore Trip Daily Itinerary for 6 Days and 5 Nights, Total Expense at the end of the video. Jewel Changi. Arrival in Singapore. Dinner in Orchard Road, Brunch in Chinatown, Gardens by the Bay, Cloud Forest Flower Dome, Supertree Grove, sightseeing shopping, haji lane, arab street, Little India, Bugis Street, Newton Hawker Centre, Brunch at Vivo City, Universal Studios Singapore, Fun Day. Brunch and shopping in Chinatown, Merlion Park, Art Science museum, Shoppes at Marina Bay, breakfast, shopping in Don Don Donki, Checkout, Flying back to Manila, Total Expense, for 2 persons"
8_post,https://www.tiktok.com/@aleevpizarro/video/7192545572161670427,Alyssa Villarama Pizarro,711,49K,389.3K,2023-1-25,/@aleevpizarro,aleevpizarro,Where to go for your Singapore travel? Save this for future purposes!😉,"['singapore', 'placestovisit', 'travelsingapore', 'travelideas', 'travelhack', 'fyp']",9606,4872,1600,113,"Places to visit in Singapore, changi airport, universal studios, merlion, marina bay sands, supertree grove, Art Science Museum, helix bridge, kampong glam, haji lane, old hill street, gardens by the bay, cloud forest, Songfa Bak Kut Teh, Little India."
9_post,https://www.tiktok.com/@visit/video/7211292968530103557,Visit,50,7.1M,134.7M,2023-3-16,/@visit,visit,Marina Bay Sands Hotel is one of the most unique sights in Singapore 🇸🇬 🎥 @ibbz_7 📍Singapore,"['uniquestays', 'hotelstays', 'marinabaysands', 'singaporetok', 'visitsingapore']",120K,9279,6406,802,Singapore
10_post,https://www.tiktok.com/@elitevacays/video/7215048588953439493,ELITE VACAYS,0,354.5K,11.6M,2023-3-27,/@elitevacays,elitevacays,Who are you bringing? Check out the link in our bio for a travel must-have✨,"['amazinghotels', 'travelproducts', 'travelworld_addict', 'traveltok']",5940,1311,184,23,"must see hotels that will leave you speechless, Marina Bay Sands Singapore"
11_post,https://www.tiktok.com/@aktravelss/video/7201129793759284486,AKTRAVELS ✈️ 🌍,129,130.2K,8.4M,2023-2-17,/@aktravelss,aktravelss,PLACES TO VISIT IN SINGAPORE PART 1 🇸🇬,"['singapore', 'travel', 'aktravels', 'jewelchangi', 'merlionpark', 'gardensbythebay']",54.8K,14.6K,1842,179,"places to visit in Singapore, jewel changi airport, merlion park, Gardens by the bay, arab street, universal studios, "
