label,pattern,sublocation,count,country,interest_1,interest_2,indoor_outdoor,adjective,video_sentiment,comment_sentiment
FAC,100 am,100 am,,,shopping,,indoor,,,
FAC,313,313 somerset,,,shopping,,indoor,,,
FAC,313 somerset,313 somerset,,,shopping,,indoor,,,
FAC,321 clementi,321 clementi,,,shopping,,indoor,,,
FAC,888 plaza,888 plaza,,,shopping,,indoor,,,
FAC,admiralty park,admiralty park,,,park,,outdoor,,,
FAC,admiralty place,admiralty place,,,shopping,,indoor,,,
FAC,adventure cove,adventure cove,,,amusement park,,outdoor,,,
FAC,alexandra canal,alexandra canal,,,nature,architecture,outdoor,,,
FAC,alexandra central,alexandra central,,,shopping,,indoor,,,
FAC,alexandra retail centre,alexandra retail centre,,,shopping,,indoor,,,
FAC,alkaff mansion,alkaff mansion,,singapore,architecture,,indoor,,,
FAC,alkaff bridge,alkaff bridge,,,architecture,,outdoor,,,
FAC,amk hub,amk hub,,,shopping,,indoor,,,
FAC,anchorpoint,anchorpoint,,,shopping,,indoor,,,
FAC,anderson bridge,anderson bridge,,,architecture,,outdoor,,,
FAC,ang mo kio town garden east,ang mo kio town garden east,,,nature,,outdoor,,,
FAC,ang mo kio town garden west,ang mo kio town garden west,,,nature,,outdoor,,,
FAC,aperia,aperia,,,shopping,,indoor,,,
GPE,arab street,arab street,,singapore,culture,,outdoor,,,
FAC,armenian church,armenian church,,,religion,,indoor,,,
FAC,art science museum,artscience museum,,singapore,museum,,indoor,,,
FAC,artscience museum,artscience museum,,,museum,,indoor,,,
FAC,asian civilisation museum,asian civilisation museum,,,museum,heritage,indoor,,,
FAC,atico lounge,atico lounge,,singapore,food and drinks,,indoor,,,
FAC,baba house,baba house,,,heritage,,indoor,,,
FOOD,bak kut teh,bak kut teh,,singapore,food and drinks,,indoor,,,
FAC,balestier hill shopping centre,balestier hill shopping centre,,,shopping,,indoor,,,
GPE,bali lane,bali lane,,singapore,culture,,outdoor,,,
FAC,beauty world centre,beauty world centre,,,shopping,,indoor,,,
FAC,beauty world plaza,beauty world plaza,,,shopping,,indoor,,,
FAC,bedok mall,bedok mall,,,shopping,,indoor,,,
FAC,bedok town park,bedok town park,,,park,,outdoor,,,
FAC,bird paradise,bird paradise,,,wildlife park,,outdoor,,,
FAC,bishan-ang mo kio park,bishan-ang mo kio park,,,park,,outdoor,,,
GPE,boat quay,boat quay,,,historic,,outdoor,,,
